text	result	texPattern	valuePattern	form
###	history rules
###	historic dates; year granularity (no AD / BC hints)
year of 90	2190	TIME_UNIT:$1 of NUM:$0	Action:BasicModify Value:$0 TimeUnit:$1 TimeUnit:Century	POINT
the year of 90	2190	the TIME_UNIT:$1 of NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year TimeUnit:Century	POINT
90	2190	NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year TimeUnit:Century	POINT
190	0190	NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year	POINT
year of 190	0190	TIME_UNIT:$1 of NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year	POINT
the year of 190	0190	the TIME_UNIT:$1 of NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year	POINT
###	day granularity
###	date_r0
2010-01-29	2010-01-29	YEAR:$0 - NUM:$1 - NUM:$2	Action:BasicModify Value:$0 TimeUnit:Year Action:BasicModify Value:$1 TimeUnit:Month Action:BasicModify Value:$2 TimeUnit:Day	POINT
10-29-99	2199-10-29	NUM:$1 - NUM:$2 - NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year TimeUnit:Century Action:BasicModify Value:$1 TimeUnit:Month Action:BasicModify Value:$2 TimeUnit:Day	POINT
09/26/1999	1999-09-26	NUM:$1 / NUM:$2 / YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:BasicModify Value:$1 TimeUnit:Month Action:BasicModify Value:$2 TimeUnit:Day	POINT
09/26/99	2199-09-26	NUM:$1 / NUM:$2 / NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year TimeUnit:Century Action:BasicModify Value:$1 TimeUnit:Month Action:BasicModify Value:$2 TimeUnit:Day	POINT
1.3.99	2199-03-01	NUM:$2 . NUM:$1 . NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year TimeUnit:Century Action:BasicModify Value:$1 TimeUnit:Month Action:BasicModify Value:$2 TimeUnit:Day	POINT
1.3.1999	1999-03-01	NUM:$2 . NUM:$1 . YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:BasicModify Value:$1 TimeUnit:Month Action:BasicModify Value:$2 TimeUnit:Day	POINT
###	date_r1
February 25, 2009	2009-02-25	MONTH:$1 NUM:$2 , YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
February 25 2009	2009-02-25	MONTH:$1 NUM:$2 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
February 25, 2009, Monday	2009-02-25	MONTH:$1 NUM:$2 , YEAR:$0 , Monday	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
February 25 2009, Monday	2009-02-25	MONTH:$1 NUM:$2 YEAR:$0 , Monday	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
February 25th, 2009	2009-02-25	MONTH:$1 ORD:$2 , YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
February 25th 2009	2009-02-25	MONTH:$1 ORD:$2 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
February 25th, 2009, Monday	2009-02-25	MONTH:$1 ORD:$2 , YEAR:$0 , Monday	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
February 25th 2009, Monday	2009-02-25	MONTH:$1 ORD:$2 YEAR:$0 , Monday	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
25 February 2009	2009-02-25	NUM:$2 MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
25th February 2009	2009-02-25	ORD:$2 MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
25 February, 2009	2009-02-25	NUM:$2 MONTH:$1 , YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
25th February, 2009	2009-02-25	ORD:$2 MONTH:$1 , YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
the 25 February 2009	2009-02-25	the NUM:$2 MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
the 25th February 2009	2009-02-25	the ORD:$2 MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1 Action:BasicModify Value:$2 TimeUnit:Day	POINT
